,epoch,baby_back_ribs,ceasar_salad,chocolate_cake,churros,cup_cakes,fried_rice,garlic_bread,hamburger,macarons,onion_rings,overall
0,0,0.0,0.8,1.0,0.6,0.3,0.3,0.9,0.0,0.6,0.7,0.52
1,1,0.7,0.5,0.6,0.3,0.6,0.1,1.0,0.6,0.7,0.7,0.58
2,2,0.1,0.3,1.0,0.3,0.5,0.8,1.0,0.6,0.8,0.8,0.62
3,3,0.2,0.5,1.0,0.4,0.6,0.4,0.6,0.7,0.8,0.8,0.6
4,4,0.4,1.0,1.0,0.3,0.6,0.3,0.2,0.3,0.8,0.7,0.56
5,5,0.4,0.8,1.0,0.4,0.2,0.4,0.2,0.6,0.8,0.9,0.57
6,6,0.3,0.7,1.0,0.0,0.6,0.5,0.8,0.8,0.7,0.5,0.59
7,7,0.4,0.8,1.0,0.4,0.5,0.2,0.2,0.5,0.8,0.7,0.55
8,8,0.6,0.7,1.0,0.2,0.3,0.3,0.4,0.8,0.8,0.7,0.58
9,9,0.4,0.9,1.0,0.2,0.7,0.1,0.0,0.6,0.7,0.5,0.51
10,10,0.5,0.8,1.0,0.7,0.6,0.4,0.5,0.6,0.9,0.7,0.67
11,11,0.4,1.0,1.0,0.7,0.6,0.2,0.8,0.6,0.8,0.6,0.67
12,12,0.4,1.0,1.0,0.5,0.5,0.3,0.4,0.6,0.7,0.7,0.61
13,13,0.6,0.8,1.0,0.3,0.4,0.1,0.4,0.7,0.8,0.7,0.58
14,14,0.7,0.7,1.0,0.2,0.6,0.5,0.7,0.6,0.8,0.7,0.65
15,15,0.5,1.0,1.0,0.4,0.4,0.7,0.4,0.5,0.5,0.7,0.61
16,16,0.5,1.0,0.9,0.3,0.6,0.4,0.5,0.6,0.9,0.7,0.64
17,17,0.7,0.5,1.0,0.8,0.3,0.4,0.3,0.7,0.8,0.7,0.62
18,18,0.6,0.9,1.0,0.7,0.4,0.4,0.4,0.7,0.8,0.8,0.67
19,19,0.8,0.8,0.9,0.4,0.4,0.6,0.5,0.6,0.9,0.6,0.65
20,20,0.7,0.7,1.0,0.5,0.6,0.9,0.1,0.8,0.6,0.4,0.63
21,21,0.6,0.7,0.8,0.4,0.6,0.5,0.6,0.5,0.7,0.8,0.62
22,22,0.7,0.3,0.9,0.4,0.5,0.3,0.9,0.6,0.9,0.7,0.62
